Model,Metric,Breakpoint1,Breakpoint2,Breakpoint3,Breakpoint4
cohere,chebyshev,0.036487372981953765,0.02858970524021945,0.022363037234316985,0.01756315285017002
cohere,cosine,0.29022951004789704,0.4826149085421314,0.6312289063286757,0.7668200684417915
cohere,euclidian,1.1891139873724645,1.0114935154089753,0.8470395114912604,0.6246978445918056
openai,euclidian,1.2687358830651232,1.1177839760921056,0.9758252640113524,0.7370931077696102
openai,cosine,0.19333043709287986,0.3709910212928431,0.5156665898372065,0.6809276690192783
openai,chebyshev,0.028849838179690578,0.024510026490092898,0.020894296839178404,0.016794448486147348
vertexai,chebyshev,0.023099029975262995,0.018344893774811043,0.01374336018370019,0.009242381379519628
vertexai,cosine,0.7360562420536472,0.8074838276256633,0.8697964879611838,0.9262040565857104
vertexai,euclidian,0.7247376177217391,0.6169967145959085,0.5031511843397681,0.3501289543161778
voyageai,euclidian,0.9872679644401335,0.8447347114370231,0.7129658906839054,0.5076066626765108
voyageai,cosine,0.5104326217022022,0.6390219269500208,0.7388138679754408,0.8452836934648467
voyageai,chebyshev,0.02236683929234768,0.02077322717826215,0.01805227908767442,0.012411877991208523
voyageai,euclidian,0.9872679644401335,0.8447347114370231,0.7129658906839054,0.5076066626765108
vertexai,euclidian,0.7247376177217391,0.6169967145959085,0.5031511843397681,0.3501289543161778
openai,euclidian,1.2687358830651232,1.1177839760921056,0.9758252640113524,0.7370931077696102
cohere,euclidian,1.1891139873724645,1.0114935154089753,0.8470395114912604,0.6246978445918056
