Model,Metric,Correlation,p-value
cohere,chebyshev,0.1640347326723362,0.0
cohere,cosine,0.6545119330097645,0.0
openai,cosine,0.6707534923125107,0.0
openai,chebyshev,0.1277129022336262,0.0
vertexai,chebyshev,0.204775573690325,0.0
vertexai,cosine,0.6620076713967074,0.0
voyageai,cosine,0.6355512232832413,0.0
voyageai,chebyshev,0.0983888660200364,0.0
voyageai,euclidian,0.6344020277234024,0.0
vertexai,euclidian,0.6519292689605684,0.0
openai,euclidian,0.6460646225550901,0.0
cohere,euclidian,0.6396616235657157,0.0
